	AEC	AF1	AF2	AM	ASMC	AT1	AT2	BCell	Basal	CAP1	CAP2	Ciliated	Deuterosomal	IM	LEC	MON	Mast	Mesothelial	NK	PC	PNEC	Plasma	Proliferating AT2	RAS	SCMF	Secretory	TCell	VEC	VSMC	cDC	pDC
AC008601.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4463513402882818	0.0	0.0
AC008743.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32243240584420085	0.0	0.0
IGKV3D-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26645305860605634	0.0	0.0
AC069228.1	0.14608786670095086	0.3212630405254475	0.5680181019150343	0.035131614414683494	2.176399417178319	0.29949160883249154	0.1567386371675407	0.3526748502954256	0.3653217535982218	0.072416118904286	0.18415936497854649	0.21056076870996293	0.4090128175672957	0.14065532791286936	0.0	0.16565464871770483	0.0	0.24125309469997322	0.16935915527333395	1.6098966493036102	0.926650597374847	0.0	0.4426493296241442	0.8609308406661476	1.6856784873015633	0.8691914705245268	0.0	0.1031203950668759	2.674465152728185	0.0	0.0
AC025419.1	1.2310454218600466	0.7501422548201233	0.7749430064562907	0.05267754837849087	1.8750367104291252	0.3749204378614371	0.054420975272815725	0.11931517403709258	0.44454124280568325	0.7843506230411484	0.5431641928259174	0.11258424195051572	0.0	0.0	0.9456979088087528	0.0	0.0	1.3808531001585844	0.0	1.2489617031826175	0.2653081701473189	0.0	0.09803350296647953	0.05914944924685972	1.0892161409669054	0.15392172427279116	0.0	1.128016250157612	2.574470146520936	0.0	1.1186861231562604
AC009154.2	0.0	0.0	0.09795682154636391	0.0	0.38446632030774514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07627169016234064	0.0830834029990097	0.7501843760278936	0.0	0.0
CCN3	0.6323448586095255	0.026500963239895745	0.16320761948844104	0.04770891472141684	0.3419929266200225	0.04142349398581645	0.03419241517893077	0.0	0.3111645835597808	0.28869231176492566	0.1601880489268887	0.10207277483389157	0.10185013968276074	0.04931958417008131	0.0	0.0	0.0	0.19046103683472176	0.0	0.0	0.0	0.0	0.0	0.07051964865053612	0.0	0.05392213304491802	0.0	0.0	1.60420710731809	0.13647573336216115	0.0
IGFBP7-AS1	0.8246919446402458	0.2558511437490199	0.88344895428016	0.07515370037330113	1.8875907682297393	0.25033255311092373	0.07131775549838736	0.25846987941182487	0.8761586427244418	0.48397003083948037	0.3611435960662461	0.4867090588673108	0.0	0.14279116586744037	1.2157978003292147	0.15706173569785575	0.0	0.4344028923618936	0.14915230649219882	0.7644953559000753	0.5467969992317782	1.020607122146861	0.09810450020385528	0.1206120272584812	0.8164882741939936	0.0	0.07238199540111036	0.9617538988919977	2.3613207610721805	0.2682870164513149	0.0
UNC45B	0.0	0.06411254413010356	0.04942451134022076	0.055362467556796545	0.5768739039114027	0.0180447169628221	0.022879145428695877	0.0	0.0	0.030474617650966658	0.0	0.048225341726486536	0.0	0.04455563771198959	0.0	0.0	0.0	0.0	0.431052094467903	0.0	0.0	0.0	0.0	0.007044555058524316	0.07947018159748148	0.10487985133459361	0.5322957255119318	0.21651117770019976	1.4471033950738705	0.0	0.0
AL035447.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0008999793720233098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28046233708337714	0.0	0.0
