UID	AF1	AF2	PMP	SCMF	VSMC	ASMC	Pericyte	VEC	LEC	AEC	CAP1	EPC	CAP2	Chondrocyte	Mesothelial	AT1	AT1/AT2	AT2	Sox9_Epi	Secretory	Basal	Ciliated	Deuterosomal	PNEC	CD4_T	CD8_T	Treg	ILC	NK	B	cDC1	cDC2	maDC	Neutrophil	Basophil	Mast	iMON	AM	IM	Megakaryocyte/Platelet
Tshz2	0.532350995	0.637702342	0.417376225	0.853907283	0.138597516	0.177597587	0.229895249	0.995918818	1.539229374	0.212855284	0.017228293	0.047901245	0.014904458	0.773188834	0.123559955	0.077190357	0.016278773	0.027638564	0	0.395809799	1.051726776	0.18004598	0.148536146	0.94551746	0.012129503	0.071304225	0	0.026238152	0.018145586	0.01790033	0.092694869	0	0	0.005695261	0	0.028813712	0.012034855	0.004368948	0.024168281	0
Unc5b	0.008162257	0.085768086	0.010449528	0.415137683	0.077816046	0.009921503	0.145828123	0.060650684	0.741345277	0.463957076	0.112193565	0.10653954	0.280186729	0	0.047180468	0.023166049	0.020886145	0.022645218	0.010937293	0	0.021558216	0.007596703	0	0.02244117	0.004661766	0.005952404	0.006929287	0	0	0.007222374	0.007177022	0.054510383	0	0.030736048	0.022198897	0.038859205	0.003554598	0	0	0.027909141
Foxc2	0	0.09817746	0	0.00041154	0.127031081	0.011044429	0	0.045249368	0.18390054	0.018058211	0	0	0	0.098647005	0	0	0	0.000414013	0	0.004229057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Slc41a1	0.111321743	0.112248658	0.09335753	0.100708123	0.101929421	0.102500198	0.122119286	0.165290825	0.760957433	0.146170777	0.077823622	0.071045349	0.074328504	0	0.045034968	0.024199713	0.129750007	0.180502536	0.216266519	0.148923403	0.032976513	0.117445675	0.090303584	0.19105952	0.069455566	0.184386058	0.152371562	0.090682806	0.036388606	0.052421413	0.050300277	0.05989049	0.293439579	0	0	0.115270737	0.027943186	0.05483427	0.068395516	0.027909141
Meox1	0.010851006	0.025773557	0.022197886	0.222041672	0.029645479	0.007706346	0.120095729	0.017169994	0.458956529	0.052891811	0.075196482	0.156415421	0.460301328	0	0	0.003244948	0	0.010345692	0	0	0	0.021936041	0.070161822	0	0.010480354	0	0	0.012841995	0.004712138	0.006136824	0	0	0	0.00730236	0	0	0.00161728	0	0.005771254	0
Hoxd10	0	0	0	0	0	0	0	0	0.088867316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ttyh1	0.01418473	0.012448595	0.01047671	0.003555144	0.138189892	0	0.004622273	0	0.26002922	0.003066193	0.000284711	0.005504446	0.036922357	0	0.021835051	0.005457037	0.00306872	0.000460374	0.011327595	0.006523733	0.237736336	0.006756451	0	0.02244117	0	0	0	0	0	0.004323316	0	0	0	0	0	0	0.003583921	0	0.003952295	0
Sema3d	0.013783347	0.452856185	0.005193586	0.011009749	0.048434293	0.230952483	0	0.002560676	0.841636188	0.002492098	0	0.003135148	0.009510845	0	0.650838344	0	0	0	0.008304462	0.013148394	0.05537644	0.004237433	0.004482822	0	0	0	0.019455318	0	0	0	0	0	0	0	0	0	0	0	0.006684656	0
Il7	0.004129288	0.0022576	0	0	0	0	0.017000993	0.005015719	0.34163501	0.001972288	0.00832113	0	0	0	0	0.002766541	0.018529803	0.058029683	0.048073329	0.022140292	0	0.099982671	0	0	0	0	0	0.006728496	0	0	0	0	0.174248391	0.002250451	0	0	0	0.002650692	0	0
Slc24a1	0.003215289	0	0	0	0	0	0.004398286	0.00378325	0.085172677	0.016601007	0.0050349	0.011125466	0.022063505	0	0	0.004443056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001359867	0	0
Clca5	0	0.002393686	0	0	0	0	0	0	0.081190108	0.011272574	0	0.011008236	0	0	0	0	0	0	0	0	0.017988359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trpc3	0.000270112	0	0	0.004804947	0.004206956	0	0.089026297	0.036377624	0.214962457	0	0	0.006611315	0.038265661	0	0	0	0	0	0	0	0	0.001372808	0	0	0	0	0	0	0	0	0	0.007311597	0	0	0	0	0	0	0	0
Rab11fip5	0.059740772	0.060880526	0.162349996	0.058880679	0.039258515	0.034848303	0.043898069	0.040202053	0.530688549	0.053715096	0.036920825	0.058298034	0.062604695	0	0.083396758	0.030307401	0.016955579	0.031766897	0.018355808	0.049005109	0.318651547	0.064923431	0.125627459	0.030272546	0	0	0.013041878	0.002665995	0	0.006751193	0.012579948	0.026323768	0	0.013510704	0	0	0.040990012	0.082624964	0.291019327	0
Cpne2	0.014352553	0.040719435	0	0.010326179	0.137873945	0.032393946	0.091286968	0.085917957	0.753761603	0.089280958	0.040527395	0.063713606	0.041844147	0.170363779	0.010725664	0	0.03392966	0.051203656	0.03168205	0.047601183	0.037498871	0.07592762	0.166594698	0	0.005572823	0.007681776	0	0.065269849	0.00662249	0	0.020633129	0.018232362	0.511981497	0.166004288	0.253019379	0.03316448	0.005168251	0.00190806	0.081423784	0.027843716
Ppfibp1	0.343285348	0.410174723	0.371348111	0.483904673	0.401099887	0.534482968	0.747458476	0.722400536	2.006791083	0.640515867	0.352228728	0.488604025	0.392039856	0.389602018	0.730358764	0.946421825	0.272682358	0.085409848	0.273162301	0.241216061	0.086878663	0.245545302	0.249936675	0.286362065	0.020682497	0.018629828	0.036888661	0.071764358	0.023168662	0.088066769	0.082436701	0.1363616	0.04998426	0.026580202	0.055113468	0.07010888	0.051675857	0.14321918	0.039238477	0.137202214
Gm525	0	0	0	0	0	0	0	0	0.292817919	0	0	0	0.008053379	0	0	0	0.000902642	0	0	0	0	0	0	0	0	0.003685827	0	0	0	0.01929076	0	0	0	0	0	0	0	0.020064395	0	0
Lrrn4cl	0.002365097	0.062359797	0.004422954	0.005371037	0.00363946	0.022720468	0.00963534	0	0.410337944	0	0	0	0	0	0.350720164	0.001573715	0	0.009531652	0	0.002549463	0	0.01138181	0.035149753	0.02244117	0	0	0	0	0	0.005093887	0	0	0	0	0	0	0.003208978	0	0	0
Fam217a	0	0.007422002	0	0.01016564	0	0.004547066	0.009363409	0.077319327	0.241433549	0.022956776	0.009905471	0.002016526	0	0	0	0	0.023098132	0	0.008245372	0.005809075	0	0.02452254	0.014634083	0	0	0	0	0	0.010284944	0	0	0	0	0	0	0	0	0	0	0
Smad1	0.146098763	0.219877759	0.126517461	0.183978716	0.156741262	0.248521287	0.146719843	0.255796002	1.229930176	0.142776788	0.109188755	0.351194154	0.157324318	0.086572733	0.109441844	0.034340641	0.127909395	0.159725035	0.081629597	0.074561644	0.296577326	0.152175572	0.246992067	0.12717838	0.044108631	0.05071948	0.368732378	0.02599029	0.023542297	0.026411701	0.039418783	0.20321602	0.256909859	0.002812479	0.083536684	0.035093227	0.073353721	0.134990192	0.101666701	0.018662898
