UID	aCap	Adventitial FB	Alveolar FB	Alveolar macrophage	Arteriole	AT1	AT2	B cells	Basal	CD4	CD8/NKT	cDC1	cDC2	Ciliated	Differentiating ciliated	gCap	Inflamed	Inflammatory monocyte	Interstitial macrophage	KRT5-/KRT17+	Lymphatic	Mast	Mesothelial	moDC	Monocyte	Monocyte-derived macrophage	MyoFB	MyoFB - Activated	NK	pDC	Pericyte	Plasma	PLIN2+ FB	PNEC	Proliferating - Epi	Proliferating - Imm	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	SMC	Systemic venous	Transitional AT2	Venule
STAG3	0.004546563	0.010392045	0.010089964	0.013903443	0.001780699	0.000961063	0.002866328	0.284213019	0.005022992	0.01597673	0.018221337	0.024852709	0.034159999	0.058330064	0.048227759	0.003734967	0	0.007936089	0.02389937	0.002695025	0.007115313	0.003415821	0.002293563	0.02127765	0.001205289	0.01131601	0	0	0.005452886	0.00137571	0.005456102	0.062996221	0.000453631	0	0.006151488	0.032515473	0.003176257	0.001309948	0.002949398	0.00638198	0.008827058	0.004140447	0.000532559
COL19A1	0	0.004132876	0	0	0	0	0	0.19382852	0.046210854	0.000188562	0	0	0.002518738	0.026346546	0.018519498	0	0	7.59E-05	9.72E-05	0	0	0	0	0.000933021	0	0.000179624	0.014590495	0.005692573	0	0	0.001811891	0.020020154	0	0	0	0.000383398	0.000768469	0.000639895	0.000317216	0	0.000441362	0	0.001183164
CD22	0.001649362	0.000638875	0.000853619	0.046804137	0.003867568	0.001541506	0.00024232	0.689594682	0.010688047	0	0.000102118	0.004099136	0.016243422	0.000534131	0.006057555	0	0.122525585	0.022992885	0.135155768	0.002528353	0.000973042	0.449454797	0.016011567	0.015570152	0.020686763	0.063296459	0.035286512	0	0.00777982	0.003288528	0.000409195	0.032435548	0	0	0	0.025484288	0.001376562	0.000405034	0.000608858	0.017205917	0.005518032	0.003759472	0.00271889
FCRL2	0	0	0	0.012874301	0.000208578	0.000866364	0.000773909	0.4378497	0.001512041	0	0	0	0.001145161	0.002336434	0.003162703	0	0	0.001218152	0.000431728	0.003693521	0	0.010210358	0	9.61E-05	0	0.001899808	0	0	0	0	0	0.286157137	0	0	0.007841184	0.002097877	0.00711304	0.005758007	0.00484486	0	0.001951944	0	0
PARP15	0.029255137	0.005963145	0.008786695	0.098636618	0.00950193	0.000580761	0.059002796	0.920295391	0.002713033	0.211944898	0.355739589	0.113284315	0.091351253	0.002944058	0.006879468	0.003655811	0	0.04416917	0.104970285	0.062803638	0.016328794	0.140896822	0.001222869	0.074297131	0.012898995	0.083515031	0	0	0.636961283	0.202001111	0.006840445	0.031304792	0.014815017	0.010643339	0.02221596	0.104963458	0.012252191	0.064484899	0.019652891	0	0.009061749	0.019110464	0.012997614
LINC02397	0	0	0	0.000660529	0	0	1.52E-05	0.502076624	0.000328371	0	0	0.194163574	0.070577676	8.35E-05	0	0	0	0.006265323	0.002047213	0	0	0.002043657	0	0.018088535	0.001128707	0.002416752	0	0.001059009	0.004214284	0.040225332	0	0.11786445	0	0	0	0.014018308	0.000179915	0	0.000327983	0	0.00052289	0	0.000151478
IGHV5-78	0	0	0.000343836	0	0	0	1.50E-05	0.207626305	0	0.000186881	8.80E-05	0	0	0	0	0	0	0.000370428	0	0	0	0	0	0.000244313	0	0.000123062	0	0	0	0	0	0.053069631	0	0	0	0	0	0	0	0	7.07E-05	0	0
LINC01215	0	0	0	0.000688579	0	0.011828331	0.005716854	0.312245765	0	0.04765402	0.02595755	0.005335354	0.007358858	0.00067974	0.00061962	0	0	0.006043702	0.003301989	0.003699257	0	0	0	0.005992462	0.000316632	0.00219006	0	0	0.052239407	0.088413592	0	0.009067358	0	0	0.001071281	0.008778374	0.001151275	0.001828052	0.009868762	0	0	0	0
FCER2	0	0	0	0.002043894	0.000208578	0	0	0.365186139	0	0.000765121	0.000179401	0.005139749	0.002841361	0.000496721	0	0.011222357	0	0.021094536	0.085467505	0	0	0.001126691	0.000515328	0.015338543	0.018466884	0.067009866	0	0	0.001058763	0	0.00196376	0.052905175	0	0	0	0.004563917	0	0.000558563	0.001120258	0	0.000220606	0	0.000498752
AIM2	0.004217103	0.002134886	0.001020253	0.016230271	0.001874324	0	0.000235002	0.56888846	0.001835514	0.085522781	0.057038239	0.031887885	0.013059301	6.11E-05	0.004956967	0	0	0.020918338	0.008118379	0	0	0.009787314	0	0.03600334	0.012600527	0.009624199	0	0.014722637	0.020073216	0	0.001956055	0.259266148	0.003514075	0	0.002898953	0.031821803	0.000130651	0.000417063	0.001631521	0	0.023602669	0	0.024806451
