UID	MyoFB - Activated	Adventitial FB	PLIN2+ FB	Alveolar FB	Mesothelial	aCap	gCap	Inflamed	Venule	Systemic venous	Arteriole	Lymphatic	AT1	KRT5-/KRT17+	Transitional AT2	AT2	Proliferating - Epi	Secretory - SCGB1A1+/MUC5B+	Secretory - SCGB1A1+/SCGB3A2+	Secretory - SCGB3A2+	Basal	NK	CD4	CD8/NKT	Mast	pDC	PNEC	B cells	Plasma	cDC1	Monocyte	cDC2	Inflammatory monocyte	moDC	Proliferating - Imm	Alveolar macrophage	Monocyte-derived macrophage	Interstitial macrophage	Pericyte	SMC	MyoFB	Ciliated	Differentiating ciliated
MAMDC2	0.338393625	0.804675619	0.360952803	1.099152719	0.07716227	0.009670926	0	0	0.019029222	0.000954142	0	0.000213002	0.000485803	0.022080544	0.015535654	0.000464231	0.004070222	0	0	0.003404801	0.009278015	0.001157175	0.000493595	0	0.001004525	0.003992162	0.071983782	0	0	0	0.000750187	0.000844989	0.00688467	0.115525561	0.016472783	0.002070714	0.014864522	0.009513661	0.077467966	0.119633394	0.602978384	0.006038842	0
NCAM2	0.069225458	0.127134555	0.098520878	0.364597678	0.064696821	0.000203475	0	0	0.000950689	0.001714088	0.008063639	0.006586279	0	0.005995272	0.033317188	0.026475102	0.002616561	0.002436549	0.007291829	0.014622997	0.008106638	0.000271391	0	0	0.003289349	0	0.047601676	0	0	0	8.85E-05	0.002024462	0.000874095	0.00509888	0.001642264	0.000585093	0.00081719	0.002295999	0.008257228	0.002270168	0.006408474	0.001896121	0.009431949
SPON1	1.296794016	0.997265671	0.746095755	1.574137536	0.150801572	0	0	0	0.011543796	0.017363748	0.007403826	0	0.000659731	0.001747321	0	0.005313331	0.0046527	0.0314534	0.00208103	0.006104134	0.000849404	0	0.017700088	0.001061545	0.002666773	0	0	0.00451419	0.000617967	0.003746224	0.000751353	0.001872845	0.002493844	0.004769481	0.001800335	0.000450973	0.000826329	0.001324744	0.099813269	0.188772507	0.813416308	0.001577096	0.000552093
HMGCLL1	0.04286259	0.033116729	0.019694294	0.258041585	0.008097064	0	0	0	0.031462441	0.031951674	0.000413343	0.000191362	0.020772446	0.007859958	0	0.006902403	0	0	0.000770473	0.001194784	0.006785921	0	0	0	0	0	0.076069075	0	0	0	0	0	7.06E-05	0	0	0.001807667	9.83E-05	0	0.08117615	0.0058695	0	5.87E-05	0
COL6A5	0.098620007	0.009088779	0.002150447	0.272776017	0	0	0	0	0	0.000198208	0	0	0	0	0	0	0	0.000245638	0.000386986	0	0.001089698	0	0	0	0	0	0	0	0	0	0	0	8.29E-05	9.33E-05	0.000319437	0	0.000260492	0.000119516	0.082915332	0	0	0	0.000438559
CDH11	1.517888243	0.607545948	0.589797594	1.699120008	0.47716383	0.012388886	0.010678022	0	0.379313241	0.114745064	0.066755629	0.052679507	0.010840324	0.081673659	0.036409198	0.035341352	0.024502399	0.199827386	0.095268746	0.086331532	0.07315989	0.007691752	0.002649704	0.000422506	0.001562093	0	0	0.034363859	0.006808155	0	0.000931665	7.28E-05	0.001189765	0.001575087	0.00098461	0.000796911	0.001333537	0.001459809	0.143774782	0.20766627	0.480140205	0.002388411	0.070822431
MUSK	0.004765288	0.050734565	0.009247198	0.130794117	0	0	0	0	0	0.000233012	0	0	0	0	0	0	0	0	0.000948647	0	0	0	0	0	0	0	0.032095579	0	0	0	0	0.000164306	0	0	0	0	0	0	0	0	0	0.000124064	0
RSPO2	0.003795355	0.01061378	0	0.117677663	0.000215786	0	0	0	0.000889007	9.53E-05	0	0	0	0	0	1.73E-05	0	0	0	0	0	0	0	0	0.000256627	0	0	0	0	0.001381903	0.000835575	0	0.000133392	0.000205663	0.000129793	0	2.71E-05	0.00022408	0	0	0	0	0
LSAMP	0.464663911	0.444270119	0.39930581	0.988045476	0.575841827	0.010075182	0	0	0.000468065	0.000103267	0.003621975	0	0.000513457	0.019493702	0	0.000231665	0	0.001253918	0	0.001090303	0.000894935	0	0.001179517	0	0.001486456	0.002876669	0.045122054	0.006152122	0.015979374	0	0.000921347	0.000712823	0.001598703	0.001033539	0.013924599	0.159102921	0.028825239	0.002340379	0.01112856	0	0.049591521	0.00033689	0
NKD2	0.330938145	0.259907796	0.156700393	0.574864283	0.021516088	8.77E-05	0	0	0.001715004	0.002464	0.007136812	0.004457058	0	0	0.005604155	0.001867916	0.001463662	0.000425546	0	0.00019667	0.003994703	0.000243884	0	0.000577129	0	0.040562402	0	0	0	0	0.00014677	0	0.000296082	0.002209482	0	0.000128716	0.000195207	0	0.007410363	0	0.007034572	0.004519775	0.008618151
